Tenure in Months,Monthly Charge,Contract,Paperless Billing,Payment Method,Unlimited Data,Avg Monthly GB Download,Number of Referrals
33,61.05,Two Year,Yes,Credit Card,Yes,52.0,3
4,40.05,Month-to-Month,Yes,Bank Withdrawal,Yes,13.0,0
1,20.05,Month-to-Month,No,Credit Card,,21.0,0
47,99.35,Month-to-Month,Yes,Bank Withdrawal,Yes,16.0,1
50,69.65,One Year,Yes,Bank Withdrawal,Yes,58.0,6
31,98.05,One Year,No,Bank Withdrawal,Yes,59.0,3
50,43.05,One Year,Yes,Bank Withdrawal,Yes,76.0,0
70,113.0,Two Year,Yes,Credit Card,Yes,14.0,8
18,19.65,Month-to-Month,No,Credit Card,,22.0,0
53,77.4,One Year,No,Bank Withdrawal,Yes,13.0,1
18,50.0,Month-to-Month,Yes,Credit Card,No,69.0,0
37,96.1,Month-to-Month,Yes,Credit Card,Yes,41.0,0
22,80.0,Month-to-Month,Yes,Credit Card,No,41.0,1
43,26.45,Two Year,No,Bank Withdrawal,,22.0,0
31,71.05,Month-to-Month,Yes,Bank Withdrawal,Yes,24.0,0
55,19.7,One Year,No,Bank Withdrawal,,22.0,8
49,20.45,Two Year,No,Credit Card,,22.0,0
46,95.25,One Year,No,Credit Card,Yes,30.0,0
32,36.25,One Year,Yes,Mailed Check,Yes,53.0,2
10,60.95,Month-to-Month,Yes,Credit Card,Yes,29.0,0
30,74.85,Two Year,No,Bank Withdrawal,Yes,8.0,7
16,65.2,Month-to-Month,Yes,Credit Card,Yes,30.0,0
1,48.95,Month-to-Month,No,Bank Withdrawal,Yes,52.0,0
72,115.55,Two Year,Yes,Bank Withdrawal,Yes,21.0,2
17,85.45,Month-to-Month,Yes,Bank Withdrawal,Yes,26.0,1
1,18.8,One Year,No,Mailed Check,,21.0,9
4,77.95,Month-to-Month,No,Bank Withdrawal,Yes,26.0,0
37,80.05,One Year,No,Bank Withdrawal,Yes,11.0,0
10,45.25,Month-to-Month,No,Credit Card,No,29.0,0
9,85.35,Month-to-Month,Yes,Bank Withdrawal,No,5.0,1
60,95.4,One Year,Yes,Bank Withdrawal,Yes,29.0,5
1,50.45,Month-to-Month,Yes,Bank Withdrawal,Yes,9.0,0
49,71.8,One Year,No,Bank Withdrawal,Yes,30.0,9
61,106.0,One Year,Yes,Bank Withdrawal,Yes,21.0,1
56,104.75,Two Year,No,Bank Withdrawal,Yes,7.0,0
13,65.85,Month-to-Month,Yes,Bank Withdrawal,Yes,4.0,1
18,-5.0,One Year,Yes,Credit Card,No,48.0,0
30,21.25,Two Year,No,Credit Card,,22.0,6
39,58.6,One Year,Yes,Credit Card,Yes,58.0,0
24,58.35,One Year,Yes,Bank Withdrawal,Yes,4.0,5
51,78.65,One Year,Yes,Credit Card,Yes,4.0,10
61,19.75,Two Year,No,Mailed Check,,22.0,0
40,104.8,Month-to-Month,No,Bank Withdrawal,Yes,8.0,0
62,54.75,One Year,No,Credit Card,Yes,71.0,5
18,82.0,One Year,Yes,Credit Card,Yes,5.0,0
71,72.9,One Year,Yes,Bank Withdrawal,No,20.0,1
14,80.9,Month-to-Month,Yes,Bank Withdrawal,Yes,19.0,7
1,69.7,Month-to-Month,No,Bank Withdrawal,Yes,25.0,0
51,75.2,Two Year,Yes,Bank Withdrawal,Yes,5.0,10
53,108.25,Month-to-Month,Yes,Bank Withdrawal,Yes,29.0,1
64,25.55,Two Year,No,Credit Card,,22.0,9
15,58.95,Month-to-Month,No,Bank Withdrawal,Yes,11.0,0
53,97.75,One Year,No,Bank Withdrawal,Yes,17.0,6
68,70.8,Two Year,No,Credit Card,Yes,10.0,1
30,83.55,Month-to-Month,Yes,Bank Withdrawal,Yes,48.0,1
38,69.5,Month-to-Month,Yes,Credit Card,Yes,2.0,0
35,26.2,One Year,No,Bank Withdrawal,,22.0,0
23,93.5,Month-to-Month,Yes,Bank Withdrawal,Yes,23.0,0
20,-1.0,One Year,Yes,Mailed Check,,22.0,0
67,106.6,One Year,Yes,Bank Withdrawal,Yes,59.0,0
71,24.5,Two Year,Yes,Bank Withdrawal,,22.0,9
11,19.5,One Year,No,Mailed Check,,22.0,0
68,83.65,One Year,Yes,Bank Withdrawal,Yes,29.0,1
3,50.6,Month-to-Month,Yes,Bank Withdrawal,Yes,25.0,0
5,24.95,Month-to-Month,Yes,Bank Withdrawal,Yes,7.0,1
14,80.45,Month-to-Month,Yes,Bank Withdrawal,Yes,23.0,0
54,19.65,Two Year,No,Credit Card,,22.0,0
25,95.9,Month-to-Month,Yes,Bank Withdrawal,Yes,4.0,0
1,19.2,Month-to-Month,No,Bank Withdrawal,,21.0,0
15,19.8,Month-to-Month,Yes,Mailed Check,,22.0,0
1,44.6,Month-to-Month,No,Mailed Check,Yes,2.0,0
14,74.3,Month-to-Month,Yes,Bank Withdrawal,Yes,10.0,0
71,79.1,Two Year,Yes,Credit Card,Yes,27.0,6
27,70.55,Two Year,Yes,Bank Withdrawal,Yes,16.0,0
1,19.5,Month-to-Month,Yes,Credit Card,,21.0,0
71,93.25,Month-to-Month,Yes,Bank Withdrawal,No,7.0,8
29,80.15,Month-to-Month,Yes,Bank Withdrawal,Yes,47.0,1
70,20.05,Two Year,No,Credit Card,,22.0,5
48,20.65,Two Year,No,Bank Withdrawal,,22.0,10
6,50.8,Month-to-Month,Yes,Bank Withdrawal,Yes,12.0,0
63,90.05,One Year,Yes,Credit Card,Yes,8.0,0
71,93.2,Two Year,No,Credit Card,Yes,23.0,8
72,75.4,Two Year,Yes,Bank Withdrawal,Yes,18.0,7
69,105.0,Two Year,Yes,Bank Withdrawal,Yes,11.0,9
18,88.85,Month-to-Month,Yes,Bank Withdrawal,Yes,59.0,8
12,49.85,Month-to-Month,Yes,Bank Withdrawal,Yes,82.0,10
71,108.05,Two Year,Yes,Bank Withdrawal,Yes,53.0,0
72,110.9,Two Year,No,Credit Card,No,11.0,5
32,96.2,Month-to-Month,Yes,Bank Withdrawal,Yes,26.0,0
58,82.5,Two Year,No,Bank Withdrawal,Yes,24.0,1
3,100.95,Month-to-Month,Yes,Bank Withdrawal,No,30.0,0
14,76.45,Month-to-Month,No,Bank Withdrawal,Yes,26.0,0
58,71.6,Two Year,No,Credit Card,Yes,25.0,1
11,35.65,Month-to-Month,Yes,Bank Withdrawal,Yes,73.0,0
65,105.05,One Year,Yes,Bank Withdrawal,Yes,59.0,0
72,25.4,Two Year,No,Credit Card,,22.0,2
71,89.85,Two Year,No,Credit Card,No,22.0,0
63,59.0,Two Year,No,Bank Withdrawal,Yes,5.0,1
10,79.25,Month-to-Month,Yes,Bank Withdrawal,Yes,18.0,0
3,65.25,Month-to-Month,Yes,Credit Card,Yes,27.0,0
1,71.65,Month-to-Month,Yes,Bank Withdrawal,Yes,16.0,0
3,80.7,Month-to-Month,Yes,Bank Withdrawal,Yes,17.0,5
18,20.1,Two Year,No,Credit Card,,22.0,4
7,29.8,Month-to-Month,No,Credit Card,Yes,19.0,0
8,85.2,Two Year,No,Bank Withdrawal,Yes,29.0,0
57,59.3,One Year,Yes,Credit Card,Yes,24.0,6
15,19.4,Month-to-Month,No,Bank Withdrawal,,20.0,0
53,69.7,Two Year,No,Bank Withdrawal,Yes,57.0,9
37,78.95,Month-to-Month,Yes,Credit Card,Yes,29.0,0
55,59.45,One Year,No,Credit Card,No,69.0,5
30,40.3,Month-to-Month,Yes,Bank Withdrawal,No,7.0,0
71,95.15,One Year,Yes,Credit Card,No,19.0,3
69,60.05,Two Year,Yes,Bank Withdrawal,Yes,18.0,0
15,87.75,Month-to-Month,Yes,Bank Withdrawal,Yes,59.0,0
20,89.0,Month-to-Month,Yes,Credit Card,Yes,5.0,1
42,78.45,Two Year,Yes,Credit Card,Yes,15.0,0
39,40.3,One Year,Yes,Bank Withdrawal,Yes,19.0,0
4,45.3,Month-to-Month,Yes,Credit Card,Yes,20.0,0
19,94.95,Two Year,Yes,Bank Withdrawal,Yes,27.0,10
10,19.85,Two Year,No,Credit Card,,22.0,5
71,99.0,Two Year,Yes,Credit Card,Yes,17.0,4
63,74.5,Two Year,No,Credit Card,Yes,73.0,9
61,85.55,One Year,Yes,Bank Withdrawal,Yes,23.0,5
16,19.75,Month-to-Month,No,Bank Withdrawal,,22.0,2
48,45.0,One Year,No,Credit Card,Yes,22.0,3
5,75.15,Month-to-Month,No,Bank Withdrawal,Yes,4.0,0
9,90.1,Month-to-Month,Yes,Bank Withdrawal,Yes,4.0,0
47,26.9,One Year,No,Bank Withdrawal,,22.0,7
52,110.75,Two Year,Yes,Bank Withdrawal,Yes,25.0,0
56,76.85,Month-to-Month,Yes,Bank Withdrawal,No,29.0,7
29,71.0,One Year,Yes,Credit Card,Yes,4.0,0
9,19.5,Month-to-Month,Yes,Bank Withdrawal,,22.0,0
9,20.25,Month-to-Month,No,Credit Card,,20.0,0
65,99.05,Two Year,Yes,Credit Card,Yes,13.0,5
12,34.0,Month-to-Month,No,Credit Card,Yes,6.0,0
69,75.75,Two Year,Yes,Bank Withdrawal,Yes,18.0,4
65,107.45,One Year,Yes,Bank Withdrawal,Yes,26.0,7
72,111.6,Two Year,Yes,Bank Withdrawal,Yes,13.0,0
32,69.75,Month-to-Month,Yes,Bank Withdrawal,Yes,5.0,1
22,59.05,Month-to-Month,Yes,Credit Card,Yes,24.0,0
8,19.55,Month-to-Month,Yes,Bank Withdrawal,,22.0,7
35,95.45,Month-to-Month,Yes,Bank Withdrawal,No,29.0,0
71,109.0,Two Year,Yes,Bank Withdrawal,No,69.0,2
5,24.3,Month-to-Month,Yes,Credit Card,,22.0,6
52,72.95,Two Year,Yes,Bank Withdrawal,Yes,11.0,0
9,103.1,Month-to-Month,No,Bank Withdrawal,Yes,57.0,10
12,45.0,Month-to-Month,Yes,Bank Withdrawal,Yes,13.0,0
21,35.1,Two Year,No,Credit Card,Yes,4.0,0
25,20.6,Month-to-Month,No,Credit Card,,22.0,0
62,104.3,One Year,Yes,Bank Withdrawal,Yes,5.0,5
36,92.9,Two Year,Yes,Credit Card,Yes,59.0,7
36,19.55,One Year,No,Credit Card,,22.0,0
2,65.7,Month-to-Month,No,Credit Card,Yes,51.0,1
34,85.2,Month-to-Month,Yes,Credit Card,Yes,29.0,4
15,48.8,Month-to-Month,Yes,Credit Card,Yes,18.0,0
54,99.05,Month-to-Month,Yes,Credit Card,No,13.0,0
23,49.45,One Year,Yes,Bank Withdrawal,Yes,53.0,0
6,80.5,Month-to-Month,Yes,Credit Card,No,26.0,0
71,95.75,Two Year,Yes,Credit Card,Yes,12.0,9
53,78.75,One Year,Yes,Credit Card,Yes,56.0,7
57,19.4,One Year,No,Credit Card,,22.0,1
22,56.75,Two Year,No,Bank Withdrawal,Yes,19.0,0
12,25.4,Two Year,Yes,Bank Withdrawal,,22.0,8
50,20.15,Two Year,No,Credit Card,,22.0,0
18,45.65,Month-to-Month,Yes,Credit Card,No,28.0,0
50,100.2,Two Year,Yes,Credit Card,Yes,9.0,0
72,83.55,Two Year,Yes,Credit Card,No,27.0,4
23,96.9,Month-to-Month,Yes,Credit Card,Yes,6.0,0
11,54.6,One Year,Yes,Mailed Check,Yes,41.0,0
72,80.8,Two Year,Yes,Bank Withdrawal,Yes,53.0,8
26,20.3,Month-to-Month,Yes,Bank Withdrawal,,22.0,0
57,19.75,Two Year,No,Bank Withdrawal,,22.0,3
52,80.95,Two Year,Yes,Bank Withdrawal,Yes,21.0,0
72,100.9,Two Year,Yes,Bank Withdrawal,Yes,12.0,0
9,101.5,Month-to-Month,Yes,Bank Withdrawal,Yes,16.0,1
49,35.8,One Year,Yes,Credit Card,Yes,82.0,1
53,74.1,One Year,No,Bank Withdrawal,Yes,4.0,3
5,85.55,Two Year,Yes,Bank Withdrawal,Yes,15.0,0
10,19.8,One Year,Yes,Credit Card,,22.0,0
68,60.65,One Year,Yes,Bank Withdrawal,Yes,20.0,2
46,81.0,Two Year,No,Mailed Check,Yes,10.0,1
27,104.65,One Year,Yes,Bank Withdrawal,Yes,19.0,0
72,68.75,Two Year,No,Credit Card,Yes,59.0,6
6,30.5,Month-to-Month,Yes,Credit Card,Yes,14.0,0
1,95.45,Month-to-Month,Yes,Bank Withdrawal,Yes,2.0,0
62,115.55,Two Year,No,Bank Withdrawal,Yes,21.0,3
46,103.15,One Year,Yes,Bank Withdrawal,No,29.0,3
62,100.15,Month-to-Month,Yes,Bank Withdrawal,Yes,13.0,1
35,40.9,One Year,No,Credit Card,Yes,30.0,6
16,75.4,Month-to-Month,Yes,Bank Withdrawal,Yes,46.0,1
72,112.6,Two Year,Yes,Credit Card,Yes,14.0,2
4,74.45,Two Year,Yes,Bank Withdrawal,Yes,7.0,0
72,20.7,Two Year,No,Bank Withdrawal,,22.0,1
70,-4.0,Two Year,Yes,Bank Withdrawal,Yes,52.0,4
49,75.2,Month-to-Month,No,Credit Card,No,24.0,0
22,74.4,Month-to-Month,Yes,Bank Withdrawal,No,23.0,0
49,40.65,Month-to-Month,No,Bank Withdrawal,Yes,11.0,6
50,80.05,One Year,Yes,Bank Withdrawal,Yes,76.0,6
24,80.5,Two Year,Yes,Bank Withdrawal,Yes,23.0,0
4,74.8,Month-to-Month,Yes,Bank Withdrawal,Yes,29.0,0
72,24.75,Two Year,No,Bank Withdrawal,,22.0,0
38,19.6,One Year,No,Credit Card,,22.0,1
40,74.55,Month-to-Month,Yes,Bank Withdrawal,Yes,75.0,5
15,75.65,Month-to-Month,No,Bank Withdrawal,Yes,19.0,0
63,110.1,Two Year,Yes,Credit Card,Yes,15.0,8
56,85.85,One Year,Yes,Credit Card,Yes,10.0,4
8,20.7,Month-to-Month,Yes,Mailed Check,,22.0,0
55,25.65,Two Year,Yes,Credit Card,,22.0,1
10,95.35,Month-to-Month,Yes,Bank Withdrawal,Yes,14.0,0
5,93.9,Month-to-Month,Yes,Mailed Check,Yes,10.0,0
72,118.75,Two Year,Yes,Bank Withdrawal,Yes,53.0,1
29,100.55,One Year,No,Credit Card,No,23.0,0
13,24.5,One Year,No,Bank Withdrawal,,22.0,8
9,94.75,Month-to-Month,Yes,Bank Withdrawal,No,26.0,0
32,20.5,Two Year,No,Credit Card,,22.0,0
1,20.4,Month-to-Month,No,Mailed Check,,21.0,0
29,66.1,Month-to-Month,Yes,Bank Withdrawal,Yes,26.0,0
58,110.65,One Year,Yes,Credit Card,Yes,18.0,8
32,83.7,One Year,No,Credit Card,Yes,15.0,0
20,70.55,Month-to-Month,No,Credit Card,No,26.0,0
24,24.6,One Year,No,Bank Withdrawal,,22.0,0
68,96.55,One Year,Yes,Credit Card,Yes,19.0,5
71,100.45,Two Year,No,Bank Withdrawal,Yes,59.0,4
58,109.1,Two Year,Yes,Credit Card,Yes,7.0,6
72,88.7,Two Year,No,Credit Card,Yes,19.0,1
8,21.05,Month-to-Month,No,Credit Card,,22.0,5
66,89.9,Two Year,No,Credit Card,Yes,3.0,9
58,20.3,Two Year,No,Credit Card,,22.0,0
35,99.05,Month-to-Month,Yes,Bank Withdrawal,No,19.0,0
2,79.75,Month-to-Month,Yes,Bank Withdrawal,No,23.0,0
46,69.1,Month-to-Month,Yes,Credit Card,Yes,53.0,7
11,-3.0,Month-to-Month,Yes,Bank Withdrawal,Yes,8.0,0
37,68.1,One Year,No,Credit Card,Yes,11.0,1
10,79.85,Month-to-Month,Yes,Credit Card,Yes,42.0,0
2,83.8,Two Year,Yes,Bank Withdrawal,Yes,14.0,0
64,115.1,Two Year,Yes,Bank Withdrawal,Yes,4.0,0
15,19.9,Month-to-Month,No,Mailed Check,,22.0,0
9,20.25,One Year,No,Credit Card,,22.0,10
71,47.6,Two Year,Yes,Bank Withdrawal,Yes,16.0,1
3,78.5,Month-to-Month,Yes,Bank Withdrawal,Yes,7.0,0
21,75.9,One Year,Yes,Bank Withdrawal,Yes,23.0,6
18,74.7,Month-to-Month,Yes,Bank Withdrawal,No,18.0,0
18,85.6,Month-to-Month,Yes,Bank Withdrawal,Yes,28.0,1
35,20.1,Two Year,No,Credit Card,,22.0,7
1,43.85,Month-to-Month,Yes,Bank Withdrawal,No,27.0,0
61,88.1,Two Year,No,Mailed Check,Yes,28.0,1
63,99.7,Two Year,No,Credit Card,Yes,6.0,3
10,25.35,Two Year,No,Credit Card,,22.0,3
1,85.45,Month-to-Month,Yes,Credit Card,Yes,27.0,0
53,19.75,Two Year,No,Bank Withdrawal,,20.0,0
57,104.5,Month-to-Month,Yes,Credit Card,Yes,25.0,1
21,69.1,Month-to-Month,Yes,Bank Withdrawal,Yes,18.0,1
58,106.45,One Year,Yes,Bank Withdrawal,Yes,12.0,0
11,20.35,Month-to-Month,No,Credit Card,,22.0,0
55,85.45,Month-to-Month,Yes,Bank Withdrawal,No,27.0,2
31,103.45,One Year,Yes,Bank Withdrawal,Yes,30.0,0
1,45.6,Month-to-Month,Yes,Bank Withdrawal,Yes,24.0,0
25,19.6,One Year,No,Bank Withdrawal,,22.0,1
66,84.0,Two Year,Yes,Credit Card,Yes,26.0,0
8,56.3,Month-to-Month,No,Bank Withdrawal,No,59.0,10
30,94.4,Month-to-Month,Yes,Bank Withdrawal,No,6.0,1
11,20.25,Month-to-Month,No,Credit Card,,22.0,0
3,81.35,Month-to-Month,Yes,Bank Withdrawal,Yes,14.0,0
10,100.6,Month-to-Month,Yes,Bank Withdrawal,Yes,3.0,0
2,73.55,Month-to-Month,Yes,Bank Withdrawal,Yes,59.0,1
69,59.75,Two Year,Yes,Bank Withdrawal,Yes,12.0,4
72,85.45,Two Year,Yes,Credit Card,Yes,16.0,10
52,50.95,One Year,Yes,Bank Withdrawal,Yes,29.0,2
6,19.85,Month-to-Month,No,Credit Card,,22.0,1
7,20.25,Month-to-Month,No,Credit Card,,22.0,9
16,69.65,Two Year,No,Bank Withdrawal,Yes,24.0,0
68,105.25,Two Year,Yes,Bank Withdrawal,Yes,19.0,3
50,108.55,One Year,No,Bank Withdrawal,Yes,14.0,1
24,76.1,Month-to-Month,Yes,Bank Withdrawal,Yes,15.0,0
2,49.25,Month-to-Month,No,Credit Card,Yes,71.0,0
62,81.0,Two Year,No,Mailed Check,Yes,22.0,6
14,50.2,Month-to-Month,No,Credit Card,Yes,59.0,6
19,65.35,One Year,Yes,Bank Withdrawal,No,6.0,0
1,20.15,Month-to-Month,No,Mailed Check,,21.0,0
2,74.85,Month-to-Month,Yes,Mailed Check,Yes,18.0,0
26,35.75,Month-to-Month,No,Bank Withdrawal,Yes,47.0,0
2,20.35,Month-to-Month,No,Mailed Check,,20.0,0
58,71.1,One Year,Yes,Credit Card,Yes,7.0,0
5,19.95,Month-to-Month,No,Credit Card,,22.0,0
8,103.35,Month-to-Month,Yes,Bank Withdrawal,Yes,41.0,0
14,90.9,Month-to-Month,Yes,Bank Withdrawal,Yes,9.0,1
71,24.4,Two Year,Yes,Credit Card,,22.0,1
55,77.75,Month-to-Month,Yes,Credit Card,Yes,53.0,3
55,85.1,Month-to-Month,Yes,Bank Withdrawal,Yes,19.0,5
66,104.9,One Year,Yes,Bank Withdrawal,Yes,30.0,6
57,53.45,One Year,No,Bank Withdrawal,Yes,11.0,1
54,20.0,Two Year,No,Credit Card,,22.0,0
61,99.4,Month-to-Month,No,Bank Withdrawal,Yes,28.0,1
12,29.35,Two Year,Yes,Credit Card,Yes,4.0,0
5,55.7,Month-to-Month,Yes,Credit Card,Yes,12.0,3
1,20.9,Month-to-Month,No,Mailed Check,,21.0,0
60,59.85,Two Year,No,Bank Withdrawal,Yes,21.0,7
31,20.9,Two Year,No,Credit Card,,22.0,0
65,106.25,One Year,Yes,Bank Withdrawal,Yes,30.0,1
22,20.3,One Year,No,Credit Card,,22.0,0
48,44.8,Month-to-Month,Yes,Bank Withdrawal,Yes,23.0,0
2,19.75,Month-to-Month,No,Credit Card,,21.0,0
3,75.05,Month-to-Month,Yes,Credit Card,Yes,30.0,0
72,77.35,Two Year,No,Credit Card,Yes,10.0,4
65,104.35,Month-to-Month,Yes,Bank Withdrawal,Yes,7.0,9
13,30.15,Month-to-Month,No,Bank Withdrawal,No,19.0,0
33,59.45,Two Year,Yes,Bank Withdrawal,Yes,16.0,0
18,57.45,Month-to-Month,No,Bank Withdrawal,Yes,22.0,1
35,100.25,Month-to-Month,Yes,Bank Withdrawal,Yes,17.0,0
5,63.95,Month-to-Month,Yes,Credit Card,Yes,5.0,0
31,89.45,Two Year,No,Bank Withdrawal,Yes,18.0,5
11,41.6,One Year,Yes,Bank Withdrawal,Yes,5.0,0
71,97.2,Two Year,Yes,Bank Withdrawal,Yes,69.0,7
6,47.95,Month-to-Month,Yes,Bank Withdrawal,Yes,71.0,0
37,19.8,One Year,Yes,Bank Withdrawal,,22.0,0
40,56.6,Month-to-Month,No,Credit Card,Yes,23.0,5
58,104.65,One Year,Yes,Bank Withdrawal,No,25.0,0
26,69.05,Month-to-Month,Yes,Credit Card,Yes,30.0,0
72,63.1,Two Year,Yes,Bank Withdrawal,Yes,26.0,8
56,24.45,One Year,Yes,Mailed Check,,22.0,7
7,90.45,Month-to-Month,Yes,Bank Withdrawal,Yes,27.0,0
22,54.2,Month-to-Month,Yes,Bank Withdrawal,Yes,21.0,1
25,38.1,One Year,Yes,Credit Card,No,24.0,10
35,102.35,One Year,Yes,Bank Withdrawal,Yes,48.0,0
56,45.05,Two Year,No,Bank Withdrawal,Yes,19.0,0
10,99.85,Month-to-Month,Yes,Bank Withdrawal,Yes,12.0,5
1,44.75,Month-to-Month,Yes,Bank Withdrawal,No,26.0,0
6,109.9,Month-to-Month,Yes,Credit Card,Yes,10.0,0
16,50.15,Month-to-Month,Yes,Bank Withdrawal,Yes,53.0,0
15,56.15,One Year,No,Credit Card,Yes,52.0,0
5,78.95,Month-to-Month,No,Bank Withdrawal,Yes,20.0,0
8,20.85,Two Year,No,Credit Card,,22.0,0
65,67.05,One Year,No,Credit Card,Yes,18.0,6
33,19.45,One Year,Yes,Bank Withdrawal,,22.0,6
11,102.0,Month-to-Month,Yes,Bank Withdrawal,Yes,10.0,1
72,109.95,Two Year,Yes,Credit Card,Yes,22.0,9
6,29.45,Month-to-Month,No,Bank Withdrawal,Yes,52.0,0
40,62.05,One Year,No,Credit Card,Yes,19.0,0
71,109.3,Two Year,No,Credit Card,No,57.0,4
69,53.65,One Year,Yes,Credit Card,Yes,16.0,7
1,20.75,Month-to-Month,No,Credit Card,,21.0,0
59,80.1,One Year,Yes,Bank Withdrawal,Yes,13.0,7
59,110.15,One Year,Yes,Bank Withdrawal,Yes,26.0,1
2,24.85,Month-to-Month,No,Credit Card,,21.0,0
1,24.7,Month-to-Month,No,Credit Card,No,48.0,0
72,110.15,Two Year,Yes,Credit Card,Yes,85.0,5
68,80.35,Two Year,No,Credit Card,Yes,41.0,8
35,86.45,Month-to-Month,Yes,Bank Withdrawal,Yes,17.0,0
72,86.05,Two Year,No,Credit Card,No,71.0,0
35,106.9,Month-to-Month,Yes,Bank Withdrawal,No,56.0,1
61,107.75,One Year,Yes,Bank Withdrawal,Yes,71.0,0
20,-5.0,Month-to-Month,No,Bank Withdrawal,Yes,24.0,0
5,49.4,Month-to-Month,Yes,Mailed Check,No,52.0,3
2,19.6,Month-to-Month,Yes,Bank Withdrawal,,20.0,0
8,54.75,Month-to-Month,Yes,Credit Card,Yes,8.0,10
1,35.9,Month-to-Month,No,Credit Card,Yes,7.0,0
4,70.65,Month-to-Month,Yes,Bank Withdrawal,Yes,12.0,0
43,94.1,Month-to-Month,Yes,Bank Withdrawal,Yes,11.0,9
67,111.3,Two Year,Yes,Bank Withdrawal,Yes,30.0,1
2,20.0,Month-to-Month,Yes,Mailed Check,,21.0,0
53,94.25,One Year,Yes,Bank Withdrawal,Yes,9.0,1
51,94.8,One Year,Yes,Bank Withdrawal,Yes,58.0,0
37,19.8,Two Year,No,Bank Withdrawal,,22.0,0
31,79.2,Two Year,No,Credit Card,No,27.0,0
6,18.95,Month-to-Month,No,Mailed Check,,22.0,0
71,20.85,One Year,No,Bank Withdrawal,,22.0,5
48,60.35,One Year,Yes,Credit Card,Yes,13.0,0
7,85.2,Month-to-Month,Yes,Credit Card,Yes,26.0,0
16,64.25,Two Year,No,Credit Card,Yes,27.0,9
50,25.2,One Year,No,Bank Withdrawal,,22.0,0
3,91.5,Month-to-Month,Yes,Credit Card,No,20.0,1
64,81.25,One Year,No,Bank Withdrawal,No,69.0,0
34,69.15,Two Year,No,Credit Card,Yes,30.0,0
19,89.65,Month-to-Month,No,Credit Card,No,47.0,1
72,66.85,Two Year,No,Bank Withdrawal,Yes,20.0,6
37,64.75,Month-to-Month,Yes,Bank Withdrawal,Yes,71.0,0
72,70.65,Two Year,Yes,Credit Card,Yes,22.0,6
42,63.7,One Year,No,Credit Card,Yes,69.0,10
39,81.5,Month-to-Month,Yes,Bank Withdrawal,Yes,76.0,7
53,24.05,One Year,No,Bank Withdrawal,,22.0,0
25,54.2,One Year,No,Bank Withdrawal,Yes,29.0,0
15,69.0,Month-to-Month,No,Bank Withdrawal,Yes,28.0,0
11,78.0,Month-to-Month,Yes,Mailed Check,Yes,23.0,0
1,69.95,Month-to-Month,Yes,Credit Card,Yes,46.0,0
28,56.05,Month-to-Month,No,Bank Withdrawal,No,15.0,0
65,-3.0,Month-to-Month,Yes,Credit Card,Yes,14.0,0
8,20.25,Two Year,No,Mailed Check,,22.0,0
49,66.15,Two Year,Yes,Bank Withdrawal,Yes,13.0,0
60,102.5,One Year,No,Bank Withdrawal,Yes,4.0,8
37,35.8,Two Year,No,Credit Card,No,25.0,0
72,100.65,Two Year,No,Bank Withdrawal,Yes,28.0,10
71,24.85,Two Year,No,Bank Withdrawal,,22.0,0
10,79.85,Month-to-Month,No,Bank Withdrawal,Yes,22.0,0
1,69.65,Month-to-Month,Yes,Bank Withdrawal,Yes,5.0,0
11,50.55,Month-to-Month,No,Bank Withdrawal,Yes,41.0,1
40,99.2,One Year,Yes,Credit Card,Yes,22.0,1
1,31.35,Month-to-Month,Yes,Mailed Check,No,6.0,0
19,34.95,Month-to-Month,Yes,Credit Card,Yes,52.0,3
32,19.8,One Year,No,Credit Card,,22.0,0
43,91.65,Month-to-Month,Yes,Bank Withdrawal,Yes,12.0,0
34,64.35,One Year,No,Bank Withdrawal,Yes,7.0,0
1,55.7,Month-to-Month,Yes,Credit Card,Yes,22.0,0
1,86.6,Month-to-Month,Yes,Bank Withdrawal,Yes,18.0,0
37,75.1,One Year,No,Bank Withdrawal,Yes,23.0,3
60,116.05,Two Year,Yes,Bank Withdrawal,Yes,11.0,1
2,64.2,Month-to-Month,Yes,Credit Card,No,26.0,2
33,59.4,One Year,No,Bank Withdrawal,Yes,7.0,0
43,77.85,Month-to-Month,Yes,Bank Withdrawal,Yes,25.0,0
7,54.85,Month-to-Month,No,Mailed Check,Yes,24.0,0
64,24.7,One Year,No,Mailed Check,,22.0,0
27,55.45,One Year,No,Bank Withdrawal,Yes,21.0,0
5,55.75,Month-to-Month,Yes,Credit Card,Yes,41.0,0
15,105.1,Month-to-Month,No,Bank Withdrawal,Yes,7.0,0
12,-5.0,One Year,No,Credit Card,,22.0,0
2,81.5,Two Year,No,Credit Card,Yes,22.0,0
48,25.05,One Year,No,Credit Card,,22.0,0
68,117.2,One Year,Yes,Credit Card,Yes,3.0,0
11,19.7,Month-to-Month,No,Credit Card,,22.0,0
53,60.05,One Year,Yes,Bank Withdrawal,No,6.0,1
3,20.0,Month-to-Month,No,Bank Withdrawal,,21.0,3
9,20.4,Month-to-Month,No,Credit Card,,22.0,0
2,20.35,Month-to-Month,No,Credit Card,,21.0,0
26,83.75,Month-to-Month,Yes,Bank Withdrawal,Yes,26.0,1
23,81.0,Month-to-Month,Yes,Bank Withdrawal,Yes,24.0,0
38,62.3,One Year,Yes,Credit Card,Yes,14.0,0
1,45.3,Month-to-Month,Yes,Mailed Check,Yes,18.0,0
